City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,elizabeth city,36.2946,-76.2511,71.98,95,1,5.75,US,1628244381
253,san matias,-16.3667,-58.4,62.65,31,2,1.3,BO,1628244395
254,aripuana,-9.1667,-60.6333,65.71,60,16,0.85,BR,1628244399
255,yerofey pavlovich,53.9667,121.9667,61.54,92,100,0.4,RU,1628244402
256,lorica,9.2365,-75.8135,77.14,92,96,2.93,CO,1628244405
257,chara,56.9064,118.2631,57.27,96,100,1.81,RU,1628244409
258,champerico,14.3,-91.9167,83.35,85,100,7.58,GT,1628244412
259,namatanai,-3.6667,152.4333,77.68,87,100,8.03,PG,1628244416
260,bredasdorp,-34.5322,20.0403,62.28,70,56,8.01,ZA,1628244419
261,sistranda,63.7256,8.834,66.16,75,54,3.06,NO,1628244422
262,auki,-8.7676,160.7034,74.91,83,5,4.72,SB,1628244426
263,kahului,20.8947,-156.47,76.84,85,75,16.11,US,1628244426
264,gusau,12.1628,6.6614,82.27,64,53,12.26,NG,1628244432
265,kayes,14.0,-11.0,79.99,75,100,12.17,ML,1628244436
266,grand gaube,-20.0064,57.6608,74.37,58,8,7.0,MU,1628244439
267,yumen,40.2833,97.2,93.04,9,27,6.55,CN,1628244442
268,port hardy,50.6996,-127.4199,55.85,92,100,3.87,CA,1628244192
269,provideniya,64.3833,-173.3,53.11,85,99,7.31,RU,1628244449
270,zavetnoye,47.1194,43.8903,93.74,19,0,15.35,RU,1628244452
271,husavik,66.0449,-17.3389,55.06,73,72,2.46,IS,1628244456
272,lata,40.1629,-8.3327,73.35,50,22,6.49,PT,1628244459
273,berlevag,70.8578,29.0864,67.8,72,0,4.61,NO,1628244463
274,marondera,-18.1853,31.5519,75.06,18,0,0.56,ZW,1628244466
275,ossora,59.2353,163.0719,50.74,83,99,13.11,RU,1628244473
276,aland,17.5667,76.5667,85.3,55,99,14.85,IN,1628244476
277,antofagasta,-23.65,-70.4,56.48,73,29,3.65,CL,1628244479
278,baglung,28.2719,83.5898,82.58,69,83,2.98,NP,1628244483
279,fremont,37.5483,-121.9886,62.92,89,90,1.01,US,1628244486
280,kupang,-10.1667,123.5833,79.38,65,20,20.71,ID,1628244490
281,chontalpa,17.7,-93.5167,73.81,94,94,1.32,MX,1628244493
282,lagoa,39.05,-27.9833,71.73,72,6,17.96,PT,1628244497
283,bell ville,-32.6259,-62.6887,50.02,70,0,7.83,AR,1628244500
284,kottagudem,17.55,80.6333,88.65,63,93,7.85,IN,1628244503
285,lorengau,-2.0226,147.2712,81.82,82,54,10.94,PG,1628244507
